attention,blinkStrength,delta,highAlpha,highBeta,highGamma,lowAlpha,lowBeta,lowGamma,meditation,theta,label
53,0,1231715,38487,10724,4704,96484,25110,4429,53,192126,0
54,0,10969,22524,12384,3117,32519,10705,3000,64,57442,0
54,87,10969,22524,12384,3117,32519,10705,3000,64,57442,0
53,0,441673,5414,13356,4543,57086,11093,3956,67,59017,0
53,89,441673,5414,13356,4543,57086,11093,3956,67,59017,0
40,0,259007,3520,1501,393,2206,851,1392,64,14356,0
40,67,259007,3520,1501,393,2206,851,1392,64,14356,0
40,88,259007,3520,1501,393,2206,851,1392,64,14356,0
60,0,453096,76999,116431,18147,90725,28357,17531,40,670325,0
63,0,1139574,40044,28078,8680,43540,53260,16686,35,108367,0
47,0,253970,48907,5928,8873,18637,32431,10284,35,202231,0
47,73,253970,48907,5928,8873,18637,32431,10284,35,202231,0
47,95,253970,48907,5928,8873,18637,32431,10284,35,202231,0
47,0,253970,48907,5928,8873,18637,32431,10284,35,202231,0
47,0,253970,48907,5928,8873,18637,32431,10284,35,202231,0
43,0,1207888,84201,34564,11728,64229,33230,11565,48,214430,0
38,0,1005891,16250,13353,7703,56950,14797,8615,57,74715,0
38,0,574545,51750,29582,4376,24718,55408,14906,56,133383,0
38,69,574545,51750,29582,4376,24718,55408,14906,56,133383,0
38,93,574545,51750,29582,4376,24718,55408,14906,56,133383,0
53,0,910277,4264,11079,1889,9603,15970,5142,47,125437,0
53,74,910277,4264,11079,1889,9603,15970,5142,47,125437,0
53,89,910277,4264,11079,1889,9603,15970,5142,47,125437,0
29,0,294310,30379,4703,956,39959,24995,1508,41,68647,0
43,0,29550,23692,17826,6954,40525,10757,12107,63,19639,0
43,76,29550,23692,17826,6954,40525,10757,12107,63,19639,0
41,0,411143,47143,48171,4211,293484,57268,9445,75,339229,0
41,94,411143,47143,48171,4211,293484,57268,9445,75,339229,0
35,0,421459,14597,2263,2972,11735,10064,1604,77,25965,0
35,0,421459,14597,2263,2972,11735,10064,1604,77,25965,0
35,0,421459,14597,2263,2972,11735,10064,1604,77,25965,0
53,0,1294599,9685,18835,4883,32986,28026,12485,69,98018,0
53,73,1294599,9685,18835,4883,32986,28026,12485,69,98018,0
48,0,1910034,94931,79329,6802,90565,111393,3494,57,310600,0
48,96,1910034,94931,79329,6802,90565,111393,3494,57,310600,0
47,0,277948,3709,2439,395,9527,4698,930,53,24210,0
48,0,1268186,12524,10804,3487,51682,10102,5257,48,150782,0
37,0,829512,45631,24908,17151,109392,105440,7118,50,309274,0
34,0,694367,9793,8682,9122,27293,9432,11173,54,39865,0
34,79,694367,9793,8682,9122,27293,9432,11173,54,39865,0
34,91,694367,9793,8682,9122,27293,9432,11173,54,39865,0
41,0,356334,19417,4228,2026,8129,14248,3249,51,27320,0
53,0,185096,1887,6468,1361,4322,7416,1713,41,14957,0
53,71,185096,1887,6468,1361,4322,7416,1713,41,14957,0
53,97,185096,1887,6468,1361,4322,7416,1713,41,14957,0
53,0,185096,1887,6468,1361,4322,7416,1713,41,14957,0
53,0,185096,1887,6468,1361,4322,7416,1713,41,14957,0
48,0,1341176,10010,5869,3065,18723,13880,7784,48,72048,0
67,0,2047551,12184,55482,6972,70898,41498,4650,47,152148,0
67,92,2047551,12184,55482,6972,70898,41498,4650,47,152148,0
67,86,2047551,12184,55482,6972,70898,41498,4650,47,152148,0
35,0,170983,17338,6311,2043,13730,28267,1071,41,173945,0
43,0,1164707,25804,31120,3780,53161,52040,14614,40,222729,0
43,86,1164707,25804,31120,3780,53161,52040,14614,40,222729,0
41,0,1452071,48406,46772,6541,45776,23901,16526,43,128240,0
41,74,1452071,48406,46772,6541,45776,23901,16526,43,128240,0
47,0,1581221,100238,24079,14403,29366,29852,11411,44,187747,0
50,0,562989,46629,11613,6633,54277,23520,13146,53,183684,0
50,90,562989,46629,11613,6633,54277,23520,13146,53,183684,0
60,0,782962,12076,19243,1092,21543,7391,2583,57,55159,0
60,79,782962,12076,19243,1092,21543,7391,2583,57,55159,0
40,0,290905,2911,1394,656,4596,2902,583,54,20438,0
40,0,290905,2911,1394,656,4596,2902,583,54,20438,0
40,0,290905,2911,1394,656,4596,2902,583,54,20438,0
50,0,65839,39873,15511,8387,22971,27356,13426,57,42476,0
50,85,65839,39873,15511,8387,22971,27356,13426,57,42476,0
56,0,354467,43111,11720,2499,40975,26905,2805,61,86763,0
48,0,373558,28571,17699,5976,50681,15309,13626,64,69434,0
63,0,81830,26248,14497,3951,26230,14851,10902,70,44080,0
63,93,81830,26248,14497,3951,26230,14851,10902,70,44080,0
63,109,81830,26248,14497,3951,26230,14851,10902,70,44080,0
51,0,835598,6837,6399,1960,10500,6156,2390,60,81088,0
69,0,1610166,10957,35853,4443,22063,27252,18116,51,82867,0
64,0,1829533,23481,32429,11680,67275,20487,17207,41,362493,0
64,80,1829533,23481,32429,11680,67275,20487,17207,41,362493,0
64,109,1829533,23481,32429,11680,67275,20487,17207,41,362493,0
51,0,1774368,52310,41422,19496,59410,29344,12282,27,632760,0
57,0,1720183,17056,21041,3348,62888,30751,5663,37,100336,0
57,82,1720183,17056,21041,3348,62888,30751,5663,37,100336,0
57,111,1720183,17056,21041,3348,62888,30751,5663,37,100336,0
57,0,1720183,17056,21041,3348,62888,30751,5663,37,100336,0
57,0,1720183,17056,21041,3348,62888,30751,5663,37,100336,0
53,0,185379,4908,4341,1991,7791,6439,1844,38,82768,0
63,0,631193,6259,14148,4599,15301,23104,4100,38,88701,0
63,83,631193,6259,14148,4599,15301,23104,4100,38,88701,0
69,0,213170,38057,31635,5598,25874,74759,3599,35,106700,0
69,78,213170,38057,31635,5598,25874,74759,3599,35,106700,0
53,0,451294,19208,7873,975,17856,20851,3164,29,63816,0
83,0,399730,7895,27296,6440,2000,9517,7982,29,46729,0
83,98,399730,7895,27296,6440,2000,9517,7982,29,46729,0
74,0,1131767,41914,38439,8134,150522,105550,12449,34,513880,0
74,89,1131767,41914,38439,8134,150522,105550,12449,34,513880,0
51,0,481083,5301,1688,831,16500,1892,1014,40,27168,0
51,83,481083,5301,1688,831,16500,1892,1014,40,27168,0
53,0,62579,2727,14366,3049,11531,24913,4656,35,87729,0
53,82,62579,2727,14366,3049,11531,24913,4656,35,87729,0
53,0,563504,48669,16027,4880,15917,9229,7865,34,257874,0
53,0,563504,48669,16027,4880,15917,9229,7865,34,257874,0
53,0,563504,48669,16027,4880,15917,9229,7865,34,257874,0
74,0,336416,21611,14498,2472,40466,18809,12923,40,18620,0
74,83,336416,21611,14498,2472,40466,18809,12923,40,18620,0
74,87,336416,21611,14498,2472,40466,18809,12923,40,18620,0
50,0,987955,19605,5422,2450,29509,13529,5339,47,71065,0
50,0,877197,12857,25408,8823,23514,20744,3772,53,127482,0
77,0,310294,30919,69383,8307,51416,30759,9560,60,41296,0
77,85,310294,30919,69383,8307,51416,30759,9560,60,41296,0
77,85,310294,30919,69383,8307,51416,30759,9560,60,41296,0
56,0,1426002,51163,28143,8538,134393,47934,7153,48,530048,0
61,0,555114,26941,12663,4658,57936,9790,3231,48,105883,0
